1.

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Donald OConnell                                        50         50 Shipping                              1500
Douglas Grant                                          50         50 Shipping                              1500
Jennifer Whalen                                        10         10 Administration                        1700
Michael Hartstein                                      20         20 Marketing                             1800
Pat Fay                                                20         20 Marketing                             1800
Susan Mavris                                           40         40 Human Resources                       2400
Hermann Baer                                           70         70 Public Relations                      2700
Shelley Higgins                                       110        110 Accounting                            1700
William Gietz                                         110        110 Accounting                            1700
Steven King                                            90         90 Executive                             1700
Neena Kochhar                                          90         90 Executive                             1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lex De Haan                                            90         90 Executive                             1700
Alexander Hunold                                       60         60 IT                                    1400
Bruce Ernst                                            60         60 IT                                    1400
David Austin                                           60         60 IT                                    1400
Valli Pataballa                                        60         60 IT                                    1400
Diana Lorentz                                          60         60 IT                                    1400
Nancy Greenberg                                       100        100 Finance                               1700
Daniel Faviet                                         100        100 Finance                               1700
John Chen                                             100        100 Finance                               1700
Ismael Sciarra                                        100        100 Finance                               1700
Jose Manuel Urman                                     100        100 Finance                               1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Luis Popp                                             100        100 Finance                               1700
Den Raphaely                                           30         30 Purchasing                            1700
Alexander Khoo                                         30         30 Purchasing                            1700
Shelli Baida                                           30         30 Purchasing                            1700
Sigal Tobias                                           30         30 Purchasing                            1700
Guy Himuro                                             30         30 Purchasing                            1700
Karen Colmenares                                       30         30 Purchasing                            1700
Matthew Weiss                                          50         50 Shipping                              1500
Adam Fripp                                             50         50 Shipping                              1500
Payam Kaufling                                         50         50 Shipping                              1500
Shanta Vollman                                         50         50 Shipping                              1500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Kevin Mourgos                                          50         50 Shipping                              1500
Julia Nayer                                            50         50 Shipping                              1500
Irene Mikkilineni                                      50         50 Shipping                              1500
James Landry                                           50         50 Shipping                              1500
Steven Markle                                          50         50 Shipping                              1500
Laura Bissot                                           50         50 Shipping                              1500
Mozhe Atkinson                                         50         50 Shipping                              1500
James Marlow                                           50         50 Shipping                              1500
TJ Olson                                               50         50 Shipping                              1500
Jason Mallin                                           50         50 Shipping                              1500
Michael Rogers                                         50         50 Shipping                              1500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ki Gee                                                 50         50 Shipping                              1500
Hazel Philtanker                                       50         50 Shipping                              1500
Renske Ladwig                                          50         50 Shipping                              1500
Stephen Stiles                                         50         50 Shipping                              1500
John Seo                                               50         50 Shipping                              1500
Joshua Patel                                           50         50 Shipping                              1500
Trenna Rajs                                            50         50 Shipping                              1500
Curtis Davies                                          50         50 Shipping                              1500
Randall Matos                                          50         50 Shipping                              1500
Peter Vargas                                           50         50 Shipping                              1500
John Russell                                           80         80 Sales                                 2500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Karen Partners                                         80         80 Sales                                 2500
Alberto Errazuriz                                      80         80 Sales                                 2500
Gerald Cambrault                                       80         80 Sales                                 2500
Eleni Zlotkey                                          80         80 Sales                                 2500
Peter Tucker                                           80         80 Sales                                 2500
David Bernstein                                        80         80 Sales                                 2500
Peter Hall                                             80         80 Sales                                 2500
Christopher Olsen                                      80         80 Sales                                 2500
Nanette Cambrault                                      80         80 Sales                                 2500
Oliver Tuvault                                         80         80 Sales                                 2500
Janette King                                           80         80 Sales                                 2500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Patrick Sully                                          80         80 Sales                                 2500
Allan McEwen                                           80         80 Sales                                 2500
Lindsey Smith                                          80         80 Sales                                 2500
Louise Doran                                           80         80 Sales                                 2500
Sarath Sewall                                          80         80 Sales                                 2500
Clara Vishney                                          80         80 Sales                                 2500
Danielle Greene                                        80         80 Sales                                 2500
Mattea Marvins                                         80         80 Sales                                 2500
David Lee                                              80         80 Sales                                 2500
Sundar Ande                                            80         80 Sales                                 2500
Amit Banda                                             80         80 Sales                                 2500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lisa Ozer                                              80         80 Sales                                 2500
Harrison Bloom                                         80         80 Sales                                 2500
Tayler Fox                                             80         80 Sales                                 2500
William Smith                                          80         80 Sales                                 2500
Elizabeth Bates                                        80         80 Sales                                 2500
Sundita Kumar                                          80         80 Sales                                 2500
Ellen Abel                                             80         80 Sales                                 2500
Alyssa Hutton                                          80         80 Sales                                 2500
Jonathon Taylor                                        80         80 Sales                                 2500
Jack Livingston                                        80         80 Sales                                 2500
Charles Johnson                                        80         80 Sales                                 2500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Winston Taylor                                         50         50 Shipping                              1500
